client_id,family,n_purchases,first_purchase_date,last_purchase_date,days_since_last_purchase,mean_ipt,median_ipt,std_ipt,cv_ipt,total_units,total_value,avg_units_per_purchase,avg_value_per_purchase,units_3m,units_6m,usage_type,expected_next_purchase_date,expected_next_purchase_days,delay_days,volume_change_3m_vs_6m,anomaly_frequency_drop,anomaly_volume_drop,anomaly_total_disappearance,anomaly_significant_delay,total_anomalies,risk_level,priority,churn_probability
3,Familia T2,4,2021-09-10,2022-02-21,1538,54.666666666666664,0.0,77.3103414097292,1.4142135623730954,7,3411.29,1.75,852.8225,0,0,PUNTUAL,2022-04-16 16:00:00.000000,54.666666666666664,1483,0.0,True,False,True,True,3,ROJO,1,0.625
26,Familia T2,2,2021-04-13,2022-03-28,1503,349.0,349.0,0.0,0.0,4,1766.1200000000001,2.0,883.0600000000001,0,0,PUNTUAL,2023-03-12 00:00:00.000000,349.0,1154,0.0,True,False,True,True,3,ROJO,1,0.625
30,Familia T1,15,2021-01-12,2025-11-11,179,126.0,107.5,80.7111250961459,0.6405644848900469,34,9590.939999999999,2.2666666666666666,639.396,0,2,PUNTUAL,2026-03-17 00:00:00.000000,126.0,53,-99.999950000025,False,True,False,False,1,AMARILLO,3,0.5419289838583426
30,Familia T2,18,2021-01-12,2025-11-11,179,103.76470588235294,87.0,78.9858732058459,0.7612017259066782,39,17826.749999999996,2.1666666666666665,990.3749999999998,0,1,PUNTUAL,2026-02-22 18:21:10.588235,103.76470588235294,75,-99.99990000010001,True,True,False,False,2,NARANJA,2,0.7363556797869367
69,Familia T1,17,2021-01-28,2025-11-03,187,108.75,101.0,73.19793371400588,0.6730844479448816,67,26771.0,3.9411764705882355,1574.764705882353,0,0,PUNTUAL,2026-02-19 18:00:00.000000,108.75,78,0.0,True,False,False,False,1,AMARILLO,3,0.35928246013667425
69,Familia T2,9,2021-01-28,2025-11-03,187,217.5,201.5,102.2900288395697,0.4702989831704354,26,11553.439999999999,2.888888888888889,1283.7155555555555,0,0,PUNTUAL,2026-06-08 12:00:00.000000,217.5,-30,0.0,False,False,False,False,0,VERDE,4,0.0
96,Familia T1,9,2021-04-09,2025-10-21,200,207.0,114.0,278.640000717772,1.3460869599892367,12,4195.06,1.3333333333333333,466.1177777777778,0,0,PUNTUAL,2026-05-16 00:00:00.000000,207.0,-7,0.0,False,False,False,False,0,VERDE,4,0.0
96,Familia T2,15,2021-06-14,2025-02-18,445,96.07142857142857,45.5,102.44264199033128,1.0663174630963852,16,5602.379999999999,1.0666666666666667,373.49199999999996,0,0,PUNTUAL,2025-05-25 01:42:51.428571,96.07142857142857,349,0.0,True,False,True,True,3,ROJO,1,0.625
100,Familia T1,5,2024-05-02,2025-03-21,414,80.75,70.5,69.82612333503845,0.8647197936227672,5,3359.46,1.0,671.892,0,0,PUNTUAL,2025-06-09 18:00:00.000000,80.75,333,0.0,True,False,True,True,3,ROJO,1,0.625
119,Familia T1,2,2021-01-29,2025-06-05,338,1588.0,1588.0,0.0,0.0,5,1706.02,2.5,853.01,0,0,PUNTUAL,2029-10-10 00:00:00.000000,1588.0,-1250,0.0,False,False,False,False,0,VERDE,4,0.0
