client_id,product_category,product_type,potential_value,potential_family_count
100,Categoria C1,commodity,2223.12,1
100,Categoria C2,commodity,6424.44,2
1000036781,Categoria C1,commodity,2223.12,1
1000036781,Categoria C2,commodity,6424.44,2
1000036869,Categoria C1,commodity,2223.12,1
1000036869,Categoria C2,commodity,10333.74,2
1000036870,Categoria C1,commodity,2223.12,1
1000036870,Categoria C2,commodity,10333.74,2
1000036961,Categoria C1,commodity,2223.12,1
1000036961,Categoria C2,commodity,8484.28,2
1000036997,Categoria C1,commodity,2223.12,1
1000036997,Categoria C2,commodity,6424.44,2
1000036998,Categoria C1,commodity,2223.12,1
1000036998,Categoria C2,commodity,6424.44,2
1000037112,Categoria C1,commodity,2223.12,1
1000037112,Categoria C2,commodity,12183.2,2
1000037181,Categoria C1,commodity,3410.04,1
1000037181,Categoria C2,commodity,29409.24,2
1000037323,Categoria C1,commodity,2223.12,1
1000037323,Categoria C2,commodity,10333.74,2
1000037345,Categoria C1,commodity,3410.04,1
1000037345,Categoria C2,commodity,9674.34,2
1000037376,Categoria C1,commodity,2223.12,1
1000037376,Categoria C2,commodity,5711.66,2
1000037399,Categoria C1,commodity,2223.12,1
1000037399,Categoria C2,commodity,6424.44,2
1000037427,Categoria C1,commodity,2223.12,1
1000037427,Categoria C2,commodity,6424.44,2
1000037428,Categoria C1,commodity,3410.04,1
1000037428,Categoria C2,commodity,29409.24,2
1000037454,Categoria C1,commodity,2223.12,1
1000037454,Categoria C2,commodity,3862.2,2
1000037462,Categoria C1,commodity,1802.36,1
1000037462,Categoria C2,commodity,3548.2,2
1000037487,Categoria C1,commodity,3410.04,1
1000037487,Categoria C2,commodity,8603.6,2
1000037511,Categoria C1,commodity,1802.36,1
1000037511,Categoria C2,commodity,2728.66,2
1000037512,Categoria C1,commodity,2223.12,1
1000037512,Categoria C2,commodity,18472.62,2
1000037515,Categoria C1,commodity,2223.12,1
1000037515,Categoria C2,commodity,6424.44,2
1000037560,Categoria C1,commodity,1802.36,1
1000037560,Categoria C2,commodity,879.2,2
1000037572,Categoria C1,commodity,2223.12,1
1000037572,Categoria C2,commodity,6424.44,2
1000037595,Categoria C1,commodity,1802.36,1
1000037595,Categoria C2,commodity,879.2,2
1000037600,Categoria C1,commodity,2223.12,1
1000037600,Categoria C2,commodity,7561.12,2
1000037619,Categoria C1,commodity,2223.12,1
1000037619,Categoria C2,commodity,1086.44,2
1000037645,Categoria C1,commodity,3410.04,1
1000037645,Categoria C2,commodity,9674.34,2
1000037659,Categoria C1,commodity,1802.36,1
1000037659,Categoria C2,commodity,879.2,2
1000037665,Categoria C1,commodity,1802.36,1
1000037665,Categoria C2,commodity,879.2,2
1000037667,Categoria C1,commodity,3410.04,1
1000037667,Categoria C2,commodity,7215.72,2
1000037704,Categoria C1,commodity,1802.36,1
1000037704,Categoria C2,commodity,879.2,2
1000037763,Categoria C1,commodity,1802.36,1
1000037763,Categoria C2,commodity,879.2,2
1000037767,Categoria C1,commodity,1802.36,1
1000037767,Categoria C2,commodity,879.2,2
1000037777,Categoria C1,commodity,1802.36,1
1000037777,Categoria C2,commodity,879.2,2
