client_id,product_category,product_type,postal_code,province,in_clients_master,client_master_conflict,has_category_potential,potential_value,potential_family_count,has_observed_sales,first_observed_date,last_observed_date,active_days,invoice_count,product_count,purchase_units_total,purchase_value_total,refund_units_total,refund_value_total,non_purchase_signal_count,campaign_purchase_value_total
1000078762,Categoria C1,commodity,38400,Sta.Cruz Tenerife,True,False,True,1802.36,1,True,2021-03-16,2025-11-27,28,28,3,60,5455.87,1,141.93,0,427.51
1000077124,Categoria C1,commodity,35007,Las Palmas,True,False,True,3410.04,1,True,2021-01-28,2025-12-02,25,26,3,242,15513.96,10,634.15,0,640.5
1000077124,Categoria T1,technical,35007,Las Palmas,True,False,False,0.0,0,True,2021-07-23,2025-11-03,18,18,3,24,12669.74,1,329.32,0,0.0
27995,Categoria C2,commodity,35110,Las Palmas,True,False,True,57706.92,2,True,2021-01-29,2025-09-26,50,67,2,2523,110293.29,90,5084.16,1,0.0
35333,Categoria T1,technical,35006,Las Palmas,True,False,False,0.0,0,True,2021-02-23,2025-12-05,28,28,3,130,80878.53,4,1142.11,0,2555.71
6208,Categoria T1,technical,38300,Sta.Cruz Tenerife,True,False,False,0.0,0,True,2021-04-06,2025-10-20,47,47,12,119,38270.84,7,3175.08,0,984.9
26898,Categoria C1,commodity,38204,Sta.Cruz Tenerife,True,False,True,12503.48,1,True,2021-01-11,2025-12-16,54,54,5,404,26533.74,1,0.0,1,1407.01
28992,Categoria C1,commodity,38670,Sta.Cruz Tenerife,True,False,True,4546.72,1,True,2021-03-03,2025-11-14,30,30,4,95,9812.56,2,0.0,2,0.0
28992,Categoria C2,commodity,38670,Sta.Cruz Tenerife,True,False,True,9620.96,2,True,2021-01-21,2025-11-14,35,36,2,378,16104.3,23,972.14,2,0.0
28992,Categoria T1,technical,38670,Sta.Cruz Tenerife,True,False,False,0.0,0,True,2021-06-11,2025-10-17,9,9,1,14,4277.2,1,0.0,2,0.0
39417,Categoria C2,commodity,38400,Sta.Cruz Tenerife,True,False,True,29409.24,2,True,2021-02-08,2025-12-04,27,26,2,354,16708.56,12,1179.57,1,0.0
1000081769,Categoria C1,commodity,35002,Las Palmas,True,False,True,4546.72,1,True,2023-09-26,2025-10-10,10,10,4,125,11190.06,15,1648.97,0,1290.07
18670,Categoria C1,commodity,38670,Sta.Cruz Tenerife,True,False,True,3410.04,1,True,2021-10-08,2025-10-23,14,14,4,100,10356.61,1,109.93,0,0.0
1000077876,Categoria T1,technical,38500,Sta.Cruz Tenerife,True,False,False,0.0,0,True,2021-04-16,2025-12-18,20,20,5,40,20543.83,3,1514.33,0,0.0
11577,Categoria T1,technical,38002,Sta.Cruz Tenerife,True,False,False,0.0,0,True,2021-02-26,2025-11-19,20,21,4,102,36575.02,3,1459.16,0,1371.36
1000068599,Categoria C2,commodity,38320,Sta.Cruz Tenerife,True,False,True,39212.32,2,True,2021-01-18,2025-11-28,35,36,2,732,30314.96,12,943.66,0,2647.08
9641,Categoria T1,technical,35500,Las Palmas,True,False,False,0.0,0,True,2021-04-19,2024-10-29,7,7,3,16,5210.24,3,1022.1,0,0.0
15196,Categoria C1,commodity,38700,Sta.Cruz Tenerife,True,False,True,4546.72,1,True,2021-01-18,2025-11-26,79,80,4,173,14132.69,6,577.98,0,249.44
1000081356,Categoria C1,commodity,38005,Sta.Cruz Tenerife,True,False,True,3410.04,1,True,2021-06-28,2025-12-09,6,6,2,21,2936.0,3,549.66,0,0.0
42054,Categoria C1,commodity,38627,Sta.Cruz Tenerife,True,False,True,3410.04,1,True,2021-05-31,2025-11-24,14,14,3,69,7956.21,6,688.04,1,0.0
1000066475,Categoria C2,commodity,38002,Sta.Cruz Tenerife,True,False,True,29965.02,2,True,2021-02-10,2025-11-20,55,55,2,684,30700.84,24,2313.36,0,489.9
1000080874,Categoria T1,technical,35019,Las Palmas,True,False,False,0.0,0,True,2021-04-16,2025-12-02,23,23,5,34,20022.28,2,1396.3,0,0.0
2427,Categoria C1,commodity,38700,Sta.Cruz Tenerife,True,False,True,2223.12,1,True,2021-09-07,2025-09-18,10,12,4,50,5201.33,7,335.82,1,0.0
32501,Categoria C1,commodity,35500,Las Palmas,True,False,True,4546.72,1,True,2021-01-07,2025-10-02,45,47,4,469,44439.12,10,1091.37,0,4088.35
43041,Categoria C1,commodity,38620,Sta.Cruz Tenerife,True,False,True,3410.04,1,True,2025-03-28,2025-07-21,4,5,3,12,1402.92,2,236.22,0,0.0
1000068622,Categoria T1,technical,38204,Sta.Cruz Tenerife,True,False,False,0.0,0,True,2021-04-08,2025-12-03,5,5,6,13,5993.93,2,616.76,0,0.0
41501,Categoria C1,commodity,38687,Sta.Cruz Tenerife,True,False,True,2223.12,1,True,2021-02-17,2025-05-12,11,11,4,74,7687.14,7,859.67,0,0.0
42930,Categoria C1,commodity,38003,Sta.Cruz Tenerife,True,False,True,4546.72,1,True,2024-09-25,2025-11-28,7,7,4,22,2438.92,2,228.94,0,456.11
1000066853,Categoria C1,commodity,38679,Sta.Cruz Tenerife,True,False,True,3410.04,1,True,2022-08-05,2025-09-05,9,8,3,25,2880.88,2,295.29,5,0.0
1000078634,Categoria C1,commodity,38008,Sta.Cruz Tenerife,True,False,True,2223.12,1,True,2021-02-09,2025-11-04,20,20,4,68,7824.02,4,472.94,0,0.0
40612,Categoria T1,technical,35003,Las Palmas,True,False,False,0.0,0,True,2021-04-06,2025-07-15,4,4,2,3,2755.2,1,946.46,0,0.0
1000080660,Categoria C1,commodity,38006,Sta.Cruz Tenerife,True,False,True,4546.72,1,True,2023-12-27,2025-07-23,5,5,2,26,2892.14,5,531.51,0,0.0
10381,Categoria C2,commodity,38003,Sta.Cruz Tenerife,True,False,True,1086.44,2,True,2024-02-06,2025-10-16,4,4,2,36,2151.3,12,397.52,0,0.0
15196,Categoria T1,technical,38700,Sta.Cruz Tenerife,True,False,False,0.0,0,True,2021-01-19,2025-12-15,57,58,5,176,49294.97,7,2208.76,0,2921.64
1000100528,Categoria C1,commodity,38005,Sta.Cruz Tenerife,True,False,True,3410.04,1,True,2023-11-22,2025-12-18,12,12,3,50,5528.85,1,0.0,2,0.0
1000081959,Categoria C1,commodity,38430,Sta.Cruz Tenerife,True,False,True,3410.04,1,True,2021-04-23,2025-11-07,20,20,2,191,12174.9,10,659.71,0,0.0
1000081959,Categoria T1,technical,38430,Sta.Cruz Tenerife,True,False,False,0.0,0,True,2022-06-07,2025-10-29,3,3,1,4,1186.77,1,342.64,0,0.0
20614,Categoria C1,commodity,38005,Sta.Cruz Tenerife,True,False,True,3410.04,1,True,2021-01-12,2025-11-07,11,11,4,125,11230.34,13,1151.63,0,2086.34
1000100930,Categoria C1,commodity,38004,Sta.Cruz Tenerife,True,False,True,20460.24,1,True,2024-03-11,2025-11-24,11,11,3,50,5930.81,2,236.22,0,1261.4
1000100137,Categoria C1,commodity,35003,Las Palmas,True,False,True,4546.72,1,True,2023-02-14,2025-12-24,18,18,2,100,11673.15,6,708.7,0,0.0
25081,Categoria C2,commodity,38760,Sta.Cruz Tenerife,True,False,True,1667.34,2,True,2021-01-21,2025-07-23,10,9,2,96,6031.82,12,349.86,1,0.0
1000037667,Categoria C1,commodity,35002,Las Palmas,True,False,True,3410.04,1,True,2021-01-21,2025-12-12,27,26,3,326,24908.29,6,345.87,1,0.0
1000070295,Categoria C1,commodity,35019,Las Palmas,True,False,True,3410.04,1,True,2021-01-21,2021-01-31,2,1,1,0,0.0,2,275.57,1,0.0
1000073798,Categoria C1,commodity,35600,Las Palmas,True,False,True,2223.12,1,True,2021-01-21,2021-01-31,2,2,1,0,0.0,6,364.71,3,0.0
1000080471,Categoria C2,commodity,35100,Las Palmas,True,False,True,10333.74,2,True,2021-02-17,2021-03-16,2,2,1,3,180.11,3,180.11,0,0.0
1000078192,Categoria T1,technical,38612,Sta.Cruz Tenerife,True,False,False,0.0,0,True,2021-02-08,2025-10-01,34,34,9,149,45171.29,5,1895.99,0,980.87
8963,Categoria T1,technical,38360,Sta.Cruz Tenerife,True,False,False,0.0,0,True,2021-02-08,2024-01-30,5,5,5,9,3745.57,4,1825.0,0,0.0
1000070086,Categoria C1,commodity,35509,Las Palmas,True,False,True,3410.04,1,True,2021-01-27,2025-12-02,24,24,4,208,19421.37,15,1425.27,0,0.0
10401,Categoria C1,commodity,38002,Sta.Cruz Tenerife,True,False,True,2223.12,1,True,2021-07-06,2025-05-27,9,9,2,13,1216.86,2,171.0,0,0.0
1000037667,Categoria T1,technical,35002,Las Palmas,True,False,False,0.0,0,True,2021-10-01,2021-11-18,2,2,1,4,1003.23,4,1003.26,0,0.0
22244,Categoria C1,commodity,38005,Sta.Cruz Tenerife,True,False,True,3410.04,1,True,2021-10-11,2023-05-08,5,5,2,13,1209.0,3,256.51,0,0.0
1000082282,Categoria C1,commodity,35002,Las Palmas,True,False,True,3410.04,1,True,2021-12-09,2023-04-28,3,3,2,12,1087.88,0,535.87,2,0.0
1000076197,Categoria C1,commodity,38612,Sta.Cruz Tenerife,True,False,True,2223.12,1,True,2021-06-04,2025-08-06,12,12,3,105,8033.83,6,661.35,0,0.0
1000081769,Categoria C2,commodity,35002,Las Palmas,True,False,True,11470.42,2,True,2021-01-11,2025-11-14,40,41,2,678,28911.51,12,363.8,3,1339.43
11609,Categoria C1,commodity,38300,Sta.Cruz Tenerife,True,False,True,4546.72,1,True,2021-01-14,2025-11-12,30,31,4,190,16714.22,2,276.26,0,0.0
1000056822,Categoria C1,commodity,38280,Sta.Cruz Tenerife,True,False,True,2223.12,1,True,2021-02-10,2025-10-21,27,27,3,144,13570.98,6,661.35,0,676.42
1000067138,Categoria C1,commodity,38400,Sta.Cruz Tenerife,True,False,True,3410.04,1,True,2022-04-04,2025-09-23,10,10,5,62,6829.65,5,256.51,0,0.0
42304,Categoria C1,commodity,38639,Sta.Cruz Tenerife,True,False,True,2223.12,1,True,2022-05-09,2022-05-31,3,3,2,10,976.79,0,440.92,2,0.0
1000058223,Categoria C1,commodity,38107,Sta.Cruz Tenerife,True,False,True,3410.04,1,True,2021-01-28,2025-11-10,18,18,5,149,12040.01,5,425.66,0,0.0
1000058223,Categoria T1,technical,38107,Sta.Cruz Tenerife,True,False,False,0.0,0,True,2021-03-11,2025-07-04,15,15,4,34,12589.67,1,519.45,0,0.0
15196,Categoria C2,commodity,38700,Sta.Cruz Tenerife,True,False,True,16095.64,2,True,2021-05-24,2025-11-26,31,31,1,102,9768.27,3,272.55,1,0.0
