product_id,analytical_block,product_category,product_family,product_type
178,Commodities,Categoria C1,Familia C1,commodity
3399,Commodities,Categoria C1,Familia C1,commodity
3408,Commodities,Categoria C1,Familia C1,commodity
4565,Commodities,Categoria C1,Familia C1,commodity
4566,Commodities,Categoria C1,Familia C1,commodity
4567,Commodities,Categoria C1,Familia C1,commodity
4911,Commodities,Categoria C2,Familia C2,commodity
4912,Commodities,Categoria C2,Familia C2,commodity
5099,Productos Técnicos,Categoria T1,Familia T1,technical
5100,Productos Técnicos,Categoria T1,Familia T1,technical
5102,Productos Técnicos,Categoria T1,Familia T2,technical
5103,Productos Técnicos,Categoria T1,Familia T1,technical
5104,Productos Técnicos,Categoria T1,Familia T1,technical
5105,Productos Técnicos,Categoria T1,Familia T1,technical
5106,Productos Técnicos,Categoria T1,Familia T1,technical
5107,Productos Técnicos,Categoria T1,Familia T1,technical
5108,Productos Técnicos,Categoria T1,Familia T1,technical
5112,Productos Técnicos,Categoria T1,Familia T2,technical
5115,Productos Técnicos,Categoria T1,Familia T2,technical
5116,Productos Técnicos,Categoria T1,Familia T2,technical
5117,Productos Técnicos,Categoria T1,Familia T2,technical
5118,Productos Técnicos,Categoria T1,Familia T2,technical
5119,Productos Técnicos,Categoria T1,Familia T2,technical
5381,Productos Técnicos,Categoria T1,Familia T1,technical
5382,Productos Técnicos,Categoria T1,Familia T1,technical
